Puntos,Latitud,Longitud,Localidad,Arena,Limo,Arcilla,Ecorregión
1,-30.735682,-63.274629,Obispo Trejo,42.9,39.9,17.3,Espinal
2,-30.680510,-63.823029,Cañada de Luque,10.5,58,31.5,Espinal
3,-30.574700,-64.005900,Las Peñas,26.5,49.4,24.1,Chaco Seco
4,-32.703603,-62.422986,Leones,21.9,59.5,18.6,Pampa Húmeda
5,-32.857250,-62.634644,Justiniano Posse,28.8,54.5,16.7,Pampa Húmeda
6,-33.059025,-62.688428,Wenceslao Escalante,29.1,46.8,24.1,Pampa Húmeda
7,-32.800714,-64.083703,Carnerillo,86.3,9.6,4.1,Espinal
8,-32.751318,-64.312296,Alcira,68.4,23.1,8.5,Espinal
9,-32.897427,-64.857117,Las Albahacas,46.8,52.1,1.1,Chaco Seco
10,-33.096688,-64.453537,Río IV,45.6,36.3,18,Espinal
11,-33.462622,-64.434864,Malena,48.7,31.9,19.4,Pampa Húmeda
12,-33.482098,-64.259353,San Basilio,63.4,26.4,10.2,Pampa Húmeda
13,-34.363908,-64.278831,Nicolás Bruzone,74.3,13.6,12.1,Pampa Húmeda
14,-34.919430,-64.405495,Huinca Renancó,78,10.6,11.5,Espinal
15,-34.872677,-64.089734,Ranqueles,64.7,23.2,12.1,Pampa Húmeda
16,-34.187437,-63.387318,Laboulaye,57.5,26.6,15.9,Pampa Húmeda
17,-33.639433,-62.343949,Arias,41.4,39.5,19.1,Pampa Húmeda
18,-33.227092,-62.168352,Corral de Bustos,17.7,44.8,37.5,Pampa Húmeda
19,-30.933574,-62.310880,Altos de Chipión,5.8,63.1,31.2,Espinal
20,-30.597898,-62.095373,Morteros,1.1,65.3,33.6,Espinal
